catid,catname,catslug,catnum
"1","Uncategorized","uncategorized","0"
"91","Cooking","cooking","0"
"5859","matar paneer recipe restaurant style","matar-paneer-recipe-restaurant-style","0"
"78","Beverages","beverages","0"
"9","Videos","videos","0"
"10","Awwwards","awwwards","0"
"11","Bike","bike","0"
"13","Facebook","facebook","0"
"14","Fonts","fonts","0"
"15","Gadgets","gadgets","0"
"16","Metro Style","metro-style","0"
"17","Themelovin","themelovin","0"
"18","Twitter","twitter","0"
"19","Type","type","0"
"20","WordPress","wordpress","0"
"21","Creative Director","creative-director","0"
"23","Fashion Victim","fashion-victim","0"
"96","Govind Gatta Curry","govind-gatta-curry","0"
"95","cardamon","cardamon","0"
"94","rasmalai","rasmalai","0"
"93","Food Photography","food-photography","0"
"92","Food Styling","food-styling","0"
"30","Photographer","photographer","0"
"31","Senior Designer","senior-designer","0"
"32","Vieo Maker","vieo-maker","0"
"105","Header menu","header-menu","0"
"34","Video","post-format-video","0"
"35","Quote","post-format-quote","0"
"36","Gallery","post-format-gallery","0"
"37","Link","post-format-link","0"
"38","beef","beef","0"
"39","bell pepper","bell-pepper","0"
"40","bread","bread","0"
"41","cheese","cheese","0"
"42","chicken","chicken","0"
"43","eggs","eggs","0"
"44","fish","fish","0"
"45","flour","flour","0"
"46","garlic","garlic","0"
"47","milk","milk","0"
"48","nutmeg","nutmeg","0"
"49","onion","onion","0"
"50","pasta","pasta","0"
"51","potatoes","potatoes","0"
"52","shrimp","shrimp","0"
"53","spinach","spinach","0"
"54","strawberries","strawberries","0"
"55","tomatoes","tomatoes","0"
"56","American","american","0"
"57","Chinese","chinese","0"
"58","Indian","indian","0"
"59","Italian","italian","0"
"60","French","french","0"
"61","Japanese","japanese","0"
"62","Mediterrarean","mediterrarean","0"
"63","Mexican","mexican","0"
"64","Seafood","seafood","0"
"65","Appetizer","appetizer","0"
"66","Breakfast","breakfast","0"
"67","Entrée","entree","0"
"68","Dessert","dessert","0"
"69","Salad","salad","0"
"70","Side Dish","side-dish","0"
"71","Snack","snack","0"
"72","Soup","soup","0"
"73","Advanced","advanced","0"
"74","Beginner","beginner","0"
"75","Child Friendly","child-friendly","0"
"76","Easy","easy","0"
"77","Moderate","moderate","0"
"79","Free Downloads","free-downloads","0"
"80","Breads","breads","0"
"81","Chutneys","chutneys","0"
"82","Curries","curries","0"
"83","Sabji","sabji","0"
"84","Dal","dal","0"
"85","Desserts","desserts","0"
"86","Soups","soups","0"
"87","Salads","salads","0"
"88","Snacks","snacks","0"
"89","Rice","rice","0"
"90","Raita","raita","0"
"97","Rajasthani Govind Gatta","rajasthani-govind-gatta","0"
"98","Gatte ki sabzi","gatte-ki-sabzi","0"
"99","Shahi Gatta","shahi-gatta","0"
"100","Rajasthani Food","rajasthani-food","0"
"101","Indian Recipes","indian-recipes","0"
"102","Greatest Indian Recipes","greatest-indian-recipes","0"
"103","My ginger garlic Kitchen","my-ginger-garlic-kitchen","0"
"104","Shahi Gatta curry","shahi-gatta-curry","0"
"106","Indian Bread","indian-bread","0"
"107","Roti","roti","0"
"108","Tandoori","tandoori","0"
"109","Tandoori Roti","tandoori-roti","0"
"110","Paratha","paratha","0"
"111","Tandoori Paratha","tandoori-paratha","0"
"112","Aaloo Paratha","aaloo-paratha","0"
"113","Baked Roti","baked-roti","0"
"114","Grilled Recipes","grilled-recipes","0"
"115","Indian Food","indian-food","0"
"116","Ginger","ginger","0"
"117","Garlic","garlic-2","0"
"118","Chapatti","chapatti","0"
"119","Food","food","0"
"120","mint","mint","0"
"121","raita","raita-2","0"
"122","yoghurt","yoghurt","0"
"123","pudina","pudina","0"
"124","my ginger garlic kit","my-ginger-garlic-kit","0"
"125","Pulav","pulav","0"
"126","Pulao","pulao","0"
"127","Capsicum","capsicum","0"
"128","Quick Indian Recipes","quick-indian-recipes","0"
"129","Chawal","chawal","0"
"130","Gatta Curry","gatta-curry","0"
